name,visitors in 2023 and 2022,city,country,population
Louvre,8900000.0,Paris,France,11060000.0
Musée d'Orsay,5200000.0,Paris,France,11060000.0
National Museum of Natural History,4400000.0,Washington,United States,4995530.0
National Museum of Korea,4179999.0,Seoul,South Korea,23016000.0
Musée National d'Histoire Naturelle,3800000.0,Paris,France,11060000.0
Prado Museum,3209285.0,Madrid,Spain,6211000.0
Guggenheim Museum Bilbao,1324000.0,Bilbao,Spain,775000.0
Vatican Museums,5080866.0,Vatican City,Vatican City,825.0
Natural History Museum,4654608.0,London,United Kingdom,11262000.0
British Museum,4097253.0,London,United Kingdom,11262000.0
Tate Modern,3883160.0,London,United Kingdom,11262000.0
Guangdong Museum,3359700.0,Guangzhou,China,26940000.0
Mevlana Museum,3352505.0,Konya,Turkey,2232374.0
National Gallery of Art,3256433.0,Washington,United States,4995530.0
Metropolitan Museum of Art,3208832.0,New York City,United States,8879653.0
State Hermitage Museum,2812913.0,Saint Petersburg,Russia,5384342.0
National Gallery,2727119.0,London,United Kingdom,11262000.0
State Russian Museum,2651688.0,Saint Petersburg,Russia,5384342.0
National Museum of Marine Science and Technology,2582444.0,Keelung,Taiwan,370155.0
Victoria and Albert Museum,2370261.0,London,United Kingdom,11262000.0
London Science Museum,2334930.0,London,United Kingdom,11262000.0
Chinese Aviation Museum,2300000.0,Beijing,China,18522000.0
National Museum of Natural Science,2299808.0,Taichung,Taiwan,3033885.0
Galleria degli Uffizi,2222692.0,Florence,Italy,380948.0
Museum of Modern Art,2190440.0,New York City,United States,8879653.0
Topography of Terror,2100000.0,Berlin,Germany,4473101.0
M+,2034331.0,Hong Kong,China,12140203.0
Opium War Museum [zh],2025800.0,Dongguan,China,10721135.0
Cité des Sciences et de l'Industrie,1992823.0,Paris,France,11060000.0
National Museum of Scotland,1973751.0,Edinburgh,United Kingdom,488050.0
State Tretyakov Gallery,1910000.0,Moscow,Russia,17332000.0
National Taiwan Science Education Center,1878504.0,Taipei,Taiwan,9078000.0
National Science and Technology Museum,1875372.0,Kaohsiung,Taiwan,2733566.0
National Museum of Modern and Contemporary Art,1806641.0,Seoul,South Korea,23016000.0
Smithsonian Museum of American History,2100000.0,Washington,United States,4995530.0
Rijksmuseum,1766084.0,Amsterdam,Netherlands,1459402.0
California Science Center,1694000.0,Los Angeles,United States,12121244.0
National Museum of China,1630911.0,Beijing,China,18522000.0
Royal Museums Greenwich,1628580.0,London,United Kingdom,11262000.0
Nanjing Museum,1610000.0,Nanjing,China,8422000.0
Zhejiang Museum of Natural History,1581263.0,Hangzhou,China,9523000.0
National Gallery of Victoria,1580303.0,Melbourne,Australia,4529500.0
Jianchuan Museum Cluster,1538143.0,Chengdu,China,14645000.0
Houston Museum of Natural Science,1520000.0,Houston,United States,5650910.0
Tokyo Metropolitan Art Museum,1509970.0,Tokyo,Japan,37732000.0
Changzhou Museum,1508229.0,Changzhou,China,3601079.0
Humboldt Forum,1500000.0,Berlin,Germany,4473101.0
National Museum of Anthropology,1494587.0,Mexico City,Mexico,21804000.0
National Museum of History,1486379.0,Mexico City,Mexico,21804000.0
National Air and Space Museum[b],1486000.0,Washington,United States,4995530.0
Kaohsiung Museum of Fine Arts,1461406.0,Kaohsiung,Taiwan,2733566.0
Acropolis Museum,1451727.0,Athens,Greece,3041131.0
China Science and Technology Museum,1431189.0,Beijing,China,18522000.0
Galleria dell'Accademia,1428369.0,Florence,Italy,380948.0
Suzhou Museum,1417412.0,Suzhou,China,9682924.0
Chengdu Museum,1404735.0,Chengdu,China,14645000.0
Shanghai Science and Technology Museum,1403179.0,Shanghai,China,24073000.0
"The National Art Center, Tokyo",1400096.0,Tokyo,Japan,37732000.0
Louis Vuitton Foundation,1500000.0,Paris,France,11060000.0
Tokyo National Museum,1372132.0,Tokyo,Japan,37732000.0
National Museum in Kraków,1365425.0,Kraków,Poland,800653.0
Centro Cultural Banco do Brasil,1364208.0,São Paulo,Brazil,23086000.0
Van Gogh Museum,1364023.0,Amsterdam,Netherlands,1459402.0
National Museum of Nature and Science,1350000.0,Tokyo,Japan,37732000.0
Kunsthistorisches Museum,1345617.0,Vienna,Austria,1973403.0
Tianjin Natural History Museum,1320752.0,Tianjin,China,10368000.0
Palacio de Cristal del Retiro,1318823.0,Madrid,Spain,6211000.0
Museum of European and Mediterranean Civilisations,1300000.0,Marseille,France,870731.0
Scottish National Gallery,1277230.0,Edinburgh,United Kingdom,488050.0
National Gallery Singapore,1262189.0,Singapore,Singapore,5983000.0
Museo Reina Sofía,1253183.0,Madrid,Spain,6211000.0
